District,MedianIncome,HS_Grads,Bachelors,Masters,Doctorate,Under18,Age18_64,Age65Plus
1,84705,141020,114530,47331,6545,168288,496599,105564
2,79216,166549,104173,41754,5077,163139,478988,135643
3,110486,119807,153743,70490,8643,162439,496303,118449
4,92038,139733,131273,54978,6259,189188,442563,143078
5,126438,99870,173494,81156,11720,164610,483145,123935
6,98739,118402,132531,66204,8402,161235,514671,96503
7,128637,104825,170354,89898,13244,165290,493323,116686
8,78486,129702,123831,64310,8814,158569,528144,73995
9,83962,152481,112388,44919,5577,170104,497956,97102
10,68261,141347,104132,44320,5440,175413,496585,92063
11,130337,91510,175054,95871,14566,166053,490564,113359
12,104629,105963,140805,84019,17290,171233,492679,105605
