District,TotalPop,Hispanic,NH_White,NH_Black,NH_Native,NH_Asian,NH_NHPI,NH_Other,NH_TwoPlus
1,773585,115580,459821,124132,965,40903,192,3539,28453
2,773584,134110,494194,83706,1697,29019,164,3064,27630
3,773586,87333,491248,93057,841,66109,297,4584,30117
4,773586,79615,622261,25435,594,19627,121,4920,21013
5,773585,125578,457907,40422,836,122769,95,4389,21589
6,773586,189896,323138,80734,1021,148940,178,7356,22323
7,773584,94192,547950,36913,542,64019,108,3818,26042
8,773584,394709,192335,60470,982,90978,176,12106,21828
9,773584,321423,295557,62702,812,69655,107,6935,16393
10,773584,164996,145060,376338,1305,48763,190,9513,27419
11,773584,127683,476809,47248,630,91413,144,4819,24838
12,773584,166222,308278,120272,935,150630,171,5260,21816
